,image,scene,0,1,6,7,11,12,13,14,15,17,18,sum
63,0000000028.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
64,0000000029.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
66,0000000029.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
67,0000000030.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
68,0000000030.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
70,0000000030.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
71,0000000031.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
73,0000000031.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
74,0000000032.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
76,0000000032.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
77,0000000033.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
78,0000000033.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
80,0000000033.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
81,0000000034.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
83,0000000034.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
84,0000000035.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
85,0000000035.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
86,0000000035.png,/2013_05_28_drive_0006_sync,1,0,0,1,0,0,1,0,0,0,0,3
88,0000000035.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,1,6
89,0000000036.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
91,0000000036.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,1,1,0,0,0,0,6
92,0000000037.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
93,0000000037.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
95,0000000037.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,1,1,0,0,0,0,6
96,0000000038.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
98,0000000038.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,1,1,0,0,0,0,6
99,0000000039.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
100,0000000039.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
102,0000000039.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
103,0000000040.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
105,0000000040.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
106,0000000041.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
107,0000000041.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
109,0000000041.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
110,0000000042.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
111,0000000042.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
112,0000000042.png,/2013_05_28_drive_0006_sync,1,0,0,1,0,0,1,0,0,0,0,3
114,0000000042.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
115,0000000043.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
116,0000000043.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
118,0000000043.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
119,0000000044.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
120,0000000044.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
122,0000000044.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
123,0000000045.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
124,0000000045.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
126,0000000045.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
127,0000000046.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
128,0000000046.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
130,0000000046.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
131,0000000047.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
132,0000000047.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
134,0000000047.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
135,0000000048.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
136,0000000048.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
138,0000000048.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
139,0000000049.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
140,0000000049.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
142,0000000049.png,/2013_05_28_drive_0010_sync,1,1,0,1,1,0,1,0,0,0,0,5
143,0000000050.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
144,0000000050.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
146,0000000050.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
147,0000000051.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
148,0000000051.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
150,0000000051.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
151,0000000052.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
152,0000000052.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
154,0000000052.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
155,0000000053.png,/2013_05_28_drive_0003_sync,1,1,0,0,0,0,1,0,0,0,0,3
156,0000000053.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
158,0000000053.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
159,0000000054.png,/2013_05_28_drive_0003_sync,1,1,0,0,0,0,1,0,0,0,0,3
160,0000000054.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
162,0000000054.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
163,0000000055.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
164,0000000055.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
166,0000000055.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
167,0000000056.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
168,0000000056.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
170,0000000056.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
172,0000000057.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
174,0000000057.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
175,0000000058.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
176,0000000058.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
178,0000000058.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
179,0000000059.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
180,0000000059.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
182,0000000059.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
183,0000000060.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
184,0000000060.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
186,0000000060.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
187,0000000061.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
188,0000000061.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,1,0,0,0,0,4
190,0000000061.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
192,0000000062.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
193,0000000062.png,/2013_05_28_drive_0006_sync,1,0,0,1,0,0,1,0,0,0,0,3
195,0000000062.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
197,0000000063.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
199,0000000063.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
201,0000000064.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
203,0000000064.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
205,0000000065.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
206,0000000065.png,/2013_05_28_drive_0006_sync,1,1,0,1,0,0,1,0,0,0,0,4
208,0000000065.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
210,0000000066.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
212,0000000066.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
213,0000000067.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
214,0000000067.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
215,0000000067.png,/2013_05_28_drive_0006_sync,1,1,0,1,0,0,1,0,0,0,0,4
217,0000000067.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
218,0000000068.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
219,0000000068.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
221,0000000068.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
222,0000000069.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
223,0000000069.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
224,0000000069.png,/2013_05_28_drive_0006_sync,1,1,0,1,0,0,1,0,0,0,0,4
226,0000000069.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
227,0000000070.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
228,0000000070.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
230,0000000070.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
231,0000000071.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
232,0000000071.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
233,0000000071.png,/2013_05_28_drive_0006_sync,1,0,0,1,0,0,1,0,0,0,0,3
235,0000000071.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
236,0000000072.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
237,0000000072.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
239,0000000072.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
240,0000000073.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
241,0000000073.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
242,0000000073.png,/2013_05_28_drive_0006_sync,1,1,0,1,0,0,1,0,0,0,0,4
244,0000000073.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
245,0000000074.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
246,0000000074.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
248,0000000074.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
249,0000000075.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
250,0000000075.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
251,0000000075.png,/2013_05_28_drive_0006_sync,1,1,0,1,0,0,1,0,0,0,0,4
253,0000000075.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
254,0000000076.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
255,0000000076.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
257,0000000076.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
258,0000000077.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
259,0000000077.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
260,0000000077.png,/2013_05_28_drive_0006_sync,1,1,0,1,0,0,1,0,0,0,0,4
262,0000000077.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
263,0000000078.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
264,0000000078.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
266,0000000078.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
267,0000000079.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
268,0000000079.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
269,0000000079.png,/2013_05_28_drive_0006_sync,1,1,0,1,0,0,1,0,0,0,0,4
271,0000000079.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
272,0000000080.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
273,0000000080.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
275,0000000080.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
276,0000000080.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
277,0000000081.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
278,0000000081.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
279,0000000081.png,/2013_05_28_drive_0006_sync,1,1,0,1,0,0,1,0,0,0,0,4
281,0000000081.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
282,0000000082.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
283,0000000082.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
285,0000000082.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
286,0000000083.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
288,0000000083.png,/2013_05_28_drive_0006_sync,1,1,0,1,0,0,1,0,0,0,0,4
290,0000000083.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
291,0000000083.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
292,0000000084.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
295,0000000084.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
296,0000000085.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
298,0000000085.png,/2013_05_28_drive_0006_sync,1,1,0,1,0,0,1,0,0,0,0,4
300,0000000085.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
301,0000000085.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
302,0000000086.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
305,0000000086.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
306,0000000087.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
308,0000000087.png,/2013_05_28_drive_0006_sync,1,1,0,1,0,0,1,0,0,0,0,4
310,0000000087.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
311,0000000087.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
312,0000000088.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
315,0000000088.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
316,0000000089.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
319,0000000089.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
320,0000000089.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
321,0000000090.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
323,0000000090.png,/2013_05_28_drive_0006_sync,1,1,0,1,0,0,1,0,0,0,0,4
325,0000000090.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
326,0000000090.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
327,0000000091.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
330,0000000091.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
331,0000000091.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
332,0000000092.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
335,0000000092.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
336,0000000092.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
337,0000000093.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
340,0000000093.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
341,0000000093.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
342,0000000094.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
345,0000000094.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
346,0000000094.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
347,0000000095.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
350,0000000095.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
351,0000000095.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
352,0000000096.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
355,0000000096.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
356,0000000096.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
357,0000000097.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
360,0000000097.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
361,0000000097.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
362,0000000098.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
365,0000000098.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
366,0000000098.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
367,0000000099.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
370,0000000099.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
371,0000000099.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
372,0000000100.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
373,0000000100.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
375,0000000100.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
376,0000000100.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
377,0000000101.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
378,0000000101.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
379,0000000101.png,/2013_05_28_drive_0006_sync,1,1,0,0,0,0,1,0,0,0,0,3
381,0000000101.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
382,0000000101.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
383,0000000102.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
384,0000000102.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
386,0000000102.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
387,0000000102.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
388,0000000103.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,0,0,0,0,0,3
389,0000000103.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
391,0000000103.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
392,0000000103.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
393,0000000104.png,/2013_05_28_drive_0003_sync,1,1,0,1,0,0,1,0,0,0,0,4
394,0000000104.png,/2013_05_28_drive_0005_sync,1,1,0,1,0,0,0,0,0,0,0,3
396,0000000104.png,/2013_05_28_drive_0009_sync,1,1,0,1,0,0,1,0,0,0,0,4
397,0000000104.png,/2013_05_28_drive_0010_sync,1,1,0,1,0,0,1,0,0,0,0,4
